time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2007-05-19T05:12:21.590Z,33.257,131.507,133.2,3.1,m,7,198.4,,0.8,us,usp000fc9p,2014-11-07T01:32:29.802Z,"2 km SSE of Beppu, Japan",earthquake,,16.7,,,reviewed,us,jma
2007-06-06T14:05:04.120Z,33.312,131.399,10,3.9,mb,13,117.9,,0.8,us,usp000fdg5,2014-11-07T01:32:39.761Z,"9 km WNW of Beppu, Japan",earthquake,,0,,2,reviewed,us,us
2007-06-06T14:42:53.870Z,33.319,131.409,18.8,4.8,mwc,48,112.3,,1.39,us,usp000fdg7,2016-11-10T01:40:51.917Z,"9 km WNW of Beppu, Japan",earthquake,,26.8,,,reviewed,us,gcmt
2007-06-06T15:18:35.860Z,33.334,131.273,10,4.2,m,11,127.8,,1.25,us,usp000fdga,2014-11-07T01:32:39.776Z,"12 km ENE of Tsukawaki, Japan",earthquake,,,,,reviewed,us,jma
2007-06-07T11:50:42.110Z,33.342,131.686,10,4.6,mwr,28,122.8,,1,us,usp000fdjc,2014-11-07T01:32:40.044Z,"10 km SE of Kitsuki, Japan",earthquake,,,,,reviewed,us,nied
2007-10-18T03:29:03.130Z,41.809,130.81,581.3,4.4,mb,29,81.5,,0.74,us,usp000fqta,2014-11-07T01:33:57.002Z,"66 km SE of Rajin, North Korea",earthquake,,12.8,,8,reviewed,us,us
2007-11-09T16:47:26.920Z,35.267,131.919,18.5,4.4,mb,26,96.9,,,us,usp000fs94,2014-11-07T01:34:08.861Z,"40 km NW of G?tsuch?, Japan",earthquake,,,,5,reviewed,jma,us
2007-12-16T08:23:35.310Z,41.237,131.409,549.3,4.5,mb,41,77.8,,0.83,us,usp000fujg,2014-11-07T01:34:25.947Z,"146 km SE of Rajin, North Korea",earthquake,,7,,13,reviewed,us,us
2008-03-07T18:52:19.090Z,33.971,132.543,50.3,4.2,mb,25,112.1,,0.8,us,usp000g0xf,2014-11-07T01:35:12.457Z,"21 km W of H?j?, Japan",earthquake,,10.1,,5,reviewed,us,us
2008-04-20T14:00:49.130Z,38.736,130.347,548,3.6,mb,16,81,,0.91,us,usp000g4e2,2014-11-07T01:35:41.064Z,"164 km ENE of Sokcho, South Korea",earthquake,,12.2,,3,reviewed,us,us
