발생시각,규모,위도,경도
2013/12/19 0:00,2.9,38.11,127.11
2013/12/13 0:00,2.5,36.1,129.04
2013/12/08 0:00,2.8,33.44,125.09
2013/12/04 0:00,2.4,38.71,125.69
2013/12/03 0:00,2.5,35.64,128.72
2013/12/02 0:00,2.8,38.56,126.1
2013/11/26 0:00,2.1,37.12,128.11
2013/11/22 0:00,2.1,36.99,126.4
2013/11/20 0:00,2.1,38.47,126.17
2013/11/16 0:00,2.1,38.51,125.66
2013/11/10 0:00,2,37.66,124.67
2013/11/08 0:00,3,36.24,126.36
2013/11/08 0:00,2.6,36.23,126.36
2013/10/26 0:00,2.7,37.96,124.61
2013/10/19 0:00,2,35.96,128.06
2013/10/11 0:00,3.6,36.46,129.61
2013/10/10 0:00,2.6,35.36,128.23
2013/09/15 0:00,2.3,36.55,129.23
2013/09/14 0:00,2.2,36.2,126.16
2013/09/11 0:00,4,33.56,125.39
2013/08/29 0:00,2.5,38.19,129.3
2013/08/13 0:00,3,36.91,129.44
2013/08/13 0:00,2.1,36.92,129.44
2013/08/12 0:00,2.3,35.66,129.77
2013/08/12 0:00,3.1,35.66,129.75
2013/08/11 0:00,2.3,38.48,126.13
2013/08/10 0:00,2.6,35.9,129.75
2013/08/07 0:00,2,36.19,126.08
2013/08/04 0:00,2.3,36.2,126.16
2013/08/01 0:00,3.1,36.19,126.17
2013/08/01 0:00,2.8,36.23,126.22
2013/07/31 0:00,3.2,36.21,126.18
2013/07/31 0:00,2.2,36.2,126.17
2013/07/31 0:00,2.2,36.21,126.17
2013/07/30 0:00,2.7,36.21,126.14
2013/07/29 0:00,2.7,36.2,126.13
2013/07/28 0:00,2.8,36.2,126.14
2013/07/26 0:00,2.2,36.19,126.14
2013/07/23 0:00,2.7,36.19,126.16
2013/07/15 0:00,2.5,36.2,126.15
2013/07/15 0:00,2.4,33.03,125.68
2013/07/13 0:00,3.5,36.2,126.18
2013/07/01 0:00,3,38.78,126.36
2013/06/29 0:00,2.3,36.2,126.17
2013/06/27 0:00,2.5,36.2,126.14
2013/06/24 0:00,2.1,38.04,129.75
2013/06/24 0:00,2.3,36.2,126.17
2013/06/22 0:00,2.3,36.2,126.17
2013/06/22 0:00,2.8,36.19,126.16
2013/06/22 0:00,2.5,36.2,126.17
2013/06/21 0:00,2.4,36.2,126.19
2013/06/21 0:00,2.2,36.19,126.14
2013/06/20 0:00,2.4,39.23,125.95
2013/06/19 0:00,2.6,36.19,126.16
2013/06/19 0:00,2.3,36.2,126.16
2013/06/18 0:00,2.3,36.21,126.18
2013/06/17 0:00,2.4,36.2,126.17
2013/06/16 0:00,2.5,36.2,126.16
2013/06/16 0:00,2.1,36.19,126.15
2013/06/10 0:00,2.1,37.71,124.7
2013/06/08 0:00,3.2,35.14,126.96
2013/06/05 0:00,2.6,36.23,126.18
2013/05/22 0:00,2.1,38.75,128.81
2013/05/21 0:00,3.7,37.66,124.71
2013/05/19 0:00,2.3,37.73,124.74
2013/05/18 0:00,2.1,37.69,124.61
2013/05/18 0:00,2.6,37.71,124.68
2013/05/18 0:00,3.9,37.67,124.61
2013/05/18 0:00,2.5,37.64,124.57
2013/05/18 0:00,2.4,37.67,124.62
2013/05/18 0:00,2.5,37.69,124.65
2013/05/18 0:00,3.3,37.67,124.66
2013/05/18 0:00,2.2,37.69,124.65
2013/05/18 0:00,4.9,37.68,124.63
2013/05/18 0:00,3.5,37.68,124.6
2013/05/15 0:00,2.8,37.69,124.74
2013/05/15 0:00,2.7,37.71,124.68
2013/05/14 0:00,2.8,37.7,124.79
2013/04/30 0:00,2,36.46,129.63
2013/04/30 0:00,2.5,36.47,129.61
2013/04/28 0:00,2.7,33.65,127.29
2013/04/21 0:00,2.7,35.14,124.49
2013/04/21 0:00,4.9,35.16,124.56
2013/04/19 0:00,2.2,36.55,129.6
2013/04/17 0:00,2.3,36.56,129.61
2013/04/14 0:00,2.3,38.2,129.29
2013/04/10 0:00,2.2,36.5,127.44
2013/02/07 0:00,2.2,35.76,129.13
2013/02/05 0:00,3.5,35.77,127.97
2013/02/04 0:00,3.1,36.55,128.9
2013/01/26 0:00,2.4,36.11,127.73
2013/01/15 0:00,2.8,36.59,129.73
2013/01/02 0:00,2.5,33.37,127.27
2012/12/19 0:00,2.2,35.72,127.22
2012/11/22 0:00,3,35.22,127.97
2012/10/17 0:00,2.5,37.54,124.84
2012/10/01 0:00,2.4,36.73,128.4
2012/09/28 0:00,2.1,36.41,128.73
2012/09/27 0:00,2.7,35.4,126.08
2012/09/24 0:00,2.5,38.73,125.48
2012/09/20 0:00,2.4,35.61,129.82
2012/09/19 0:00,2.2,34.66,128.75
2012/09/19 0:00,2.1,34.71,128.72
2012/09/18 0:00,2.7,33.53,125.81
2012/09/10 0:00,2.1,35.82,129.41
2012/09/07 0:00,3.1,36.4,127.25
2012/08/18 0:00,2.2,36.2,125.26
2012/08/13 0:00,2.2,36.84,128.68
2012/08/10 0:00,2.6,35.82,128.39
2012/07/29 0:00,2.7,32.85,126.02
2012/07/26 0:00,3.4,37.98,125.45
2012/07/22 0:00,2.3,34.69,126.6
2012/07/14 0:00,2.6,33.78,124.97
2012/07/11 0:00,2.1,36.87,125.28
2012/07/11 0:00,2.5,36.9,125.27
2012/07/09 0:00,2.4,35.32,128.71
2012/07/08 0:00,2.5,35.72,129.35
2012/07/03 0:00,2.2,37.19,129.08
2012/06/24 0:00,2.1,37.53,124.56
2012/06/23 0:00,2.6,36.7,128.31
2012/06/19 0:00,3.1,33.48,125.93
2012/06/14 0:00,2.1,39.72,126.92
2012/06/12 0:00,2.2,35.87,128.67
2012/06/12 0:00,2.4,37.33,125.27
2012/06/12 0:00,2.1,38.77,125.72
2012/06/12 0:00,2.1,36.32,127.51
2012/06/05 0:00,2.1,38.43,126.16
2012/06/01 0:00,2.6,37.12,125.96
2012/06/01 0:00,2.3,35.92,127.61
2012/05/30 0:00,3.4,36.57,129.57
2012/05/16 0:00,2.7,36.23,128.49
2012/05/15 0:00,2.9,35.92,129.62
2012/05/11 0:00,3.9,36.02,127.71
2012/05/02 0:00,2.1,35.77,126.81
2012/05/02 0:00,3.4,33.69,126.04
2012/04/20 0:00,3.1,33.43,127.26
2012/04/17 0:00,2.6,35.72,126.51
2012/03/30 0:00,2.3,36.49,127.91
2012/03/29 0:00,2.2,35.34,125.95
2012/03/18 0:00,2.5,36.9,130.24
2012/02/27 0:00,2.5,35.15,129.85
2012/02/24 0:00,3.2,35.2,129.93
2012/02/24 0:00,2.4,35.13,129.85
2012/02/21 0:00,2.5,35.13,129.8
2012/02/19 0:00,2.7,35.13,129.89
2012/01/24 0:00,2.2,37.12,125.96
2012/01/19 0:00,2.7,38.51,126.23
2012/01/16 0:00,2.2,36.79,128.75
2012/01/01 0:00,2,39.02,125.82
2011/12/27 0:00,3.3,36.86,129.94
2011/12/25 0:00,2.3,37.12,128.99
2011/12/14 0:00,2,37.97,125.82
2011/11/30 0:00,2.5,35.98,126.53
2011/11/26 0:00,2.2,34.23,127.67
2011/11/02 0:00,3,35.54,130.65
2011/10/07 0:00,2.7,33.34,127.19
2011/09/28 0:00,2.6,38.48,126.26
2011/09/26 0:00,3.3,34.58,128.12
2011/09/25 0:00,2.6,35.58,125.9
2011/09/21 0:00,2.6,35.91,125.21
2011/09/08 0:00,3.2,38.82,126
2011/08/31 0:00,2.6,35.7,129.75
2011/08/20 0:00,2.2,38.46,127.83
2011/08/20 0:00,3,37.5,124.46
2011/08/15 0:00,3.2,38.47,125.63
2011/08/09 0:00,2.5,35.66,129.76
2011/07/28 0:00,2.2,35.9,129.7
2011/07/27 0:00,2.8,36.55,129.56
2011/07/19 0:00,2.4,37.89,124.67
2011/07/13 0:00,2.1,35.91,128.39
2011/07/05 0:00,2.3,38.58,126.36
2011/06/27 0:00,2.9,35.52,126.14
2011/06/17 0:00,2.4,37.9,124.81
2011/06/17 0:00,4,37.89,124.81
2011/06/16 0:00,2.8,33.62,127.27
2011/06/15 0:00,3.7,33.71,127.81
2011/06/09 0:00,2.6,35.91,129.7
2011/06/08 0:00,3,35.08,125.3
2011/06/05 0:00,2.5,36.05,127.53
2011/06/02 0:00,2.9,36.7,127.94
2011/06/02 0:00,2.9,33.59,127.26
2011/05/29 0:00,3.2,35.58,128.75
2011/05/28 0:00,2.5,35.93,129.69
2011/05/25 0:00,2.3,33.61,127.28
2011/05/11 0:00,2.2,39.33,126.22
2011/04/24 0:00,3.1,37.85,125.01
2011/04/11 0:00,2.8,39.13,125.87
2011/04/11 0:00,3.1,37.72,129.07
2011/04/03 0:00,2.7,35.77,128.53
2011/03/28 0:00,3.2,35.97,129.95
2011/03/24 0:00,2.8,36.34,127.83
2011/03/14 0:00,2.9,34.62,126.1
2011/03/13 0:00,2.3,37.5,125.33
2011/03/12 0:00,2.6,37,125.27
2011/03/11 0:00,2.5,38.51,127.57
2011/03/06 0:00,2.9,38.66,125.67
2011/02/27 0:00,3.5,33.65,125.9
2011/02/11 0:00,2.2,37.19,129.06
2011/01/26 0:00,2.7,33.4,127.33
2011/01/21 0:00,2.2,33.7,127.38
2011/01/04 0:00,2,36.41,127.15
2010/12/20 0:00,2.2,36.93,125.5
2010/12/19 0:00,2.6,37.31,129.38
2010/11/28 0:00,2.3,35.18,127.02
2010/11/27 0:00,2.8,35.95,129.79
2010/11/20 0:00,2.7,36.83,126.76
2010/11/07 0:00,2.8,40.15,128.28
2010/10/25 0:00,2.5,34.29,127.39
2010/10/23 0:00,2.4,39.77,126.7
2010/10/22 0:00,2.5,35.85,128.18
2010/10/14 0:00,2.3,37.14,129.73
2010/10/07 0:00,2.8,35.87,129.79
2010/10/04 0:00,2.8,37.67,129.7
2010/09/30 0:00,2.5,33.41,127.34
2010/09/06 0:00,2.8,36.56,129.01
2010/08/28 0:00,3.2,32.9,126.27
2010/08/24 0:00,2.5,38.71,125.9
2010/07/27 0:00,2.2,36.34,127.26
2010/07/06 0:00,2.3,36.47,127.13
2010/06/28 0:00,2.1,38.75,126.03
2010/06/26 0:00,2.7,32.35,125.88
2010/06/22 0:00,2.6,38.46,125.64
2010/06/11 0:00,2.1,38.78,126.07
2010/05/26 0:00,2.4,37.6,129.68
2010/05/15 0:00,2.2,36,127.84
2010/04/28 0:00,2.1,36.55,128.71
2010/04/27 0:00,2.3,36.8,128.75
2010/04/16 0:00,2.2,38.78,126.01
2010/04/13 0:00,2.5,34.02,125.44
2010/04/12 0:00,2.2,34.12,125.66
2010/04/04 0:00,2.3,38.51,126.06
2010/03/09 0:00,3.2,36.42,125.75
